date,url,text
2/11/17,http://m.nationals.mlb.com/player/425386/jeremy-guthrie,Washington Nationals signed free agent RHPJeremy Guthrieto a minor league contract and invited him to spring training.
2/11/17,http://m.nationals.mlb.com/player/425840/neal-cotts,Washington Nationals signed free agent LHPNeal Cottsto a minor league contract and invited him to spring training.
2/15/17,http://m.nationals.mlb.com/player/452252/adam-lind,Washington Nationals signed free agent 1BAdam Lind.
2/24/17,http://m.nationals.mlb.com/player/592530/jose-marmolejos,Washington Nationals placed 1BJose Marmolejoson the 60-day disabled list. Strained left forearm.
2/24/17,http://m.nationals.mlb.com/player/606983/koda-glover,Koda Gloverchanged number to 30.
2/24/17,http://m.nationals.mlb.com/player/446308/matt-wieters,Washington Nationals signed free agent CMatt Wieters.
2/25/17,http://m.nationals.mlb.com/player/594811/derek-eitel,Washington Nationals invited non-roster RHPDerek Eitelto spring training.
1/2/17,http://m.nationals.mlb.com/player/643552/stone-speer,Washington Nationals signed free agent LHPStone Speerto a minor league contract.
1/11/17,http://m.nationals.mlb.com/player/596096/alex-santana,Washington Nationals signed free agent 3BAlex Santanato a minor league contract.
1/12/17,http://m.nationals.mlb.com/player/458252/irving-falu,Washington Nationals signed free agent 3BIrving Faluto a minor league contract.
1/26/17,http://m.nationals.mlb.com/player/452220/stephen-drew,Washington Nationals signed free agent 2BStephen Drew.
1/27/17,http://m.nationals.mlb.com/player/502205/grant-green,Washington Nationals signed free agent 2BGrant Greento a minor league contract and invited him to spring training.
1/31/17,http://m.nationals.mlb.com/player/150274/joe-nathan,Washington Nationals signed free agent RHPJoe Nathanto a minor league contract and invited him to spring training.
1/31/17,http://m.nationals.mlb.com/player/458006/matt-albers,Washington Nationals signed free agent RHPMatt Albersto a minor league contract and invited him to spring training.
1/31/17,http://m.nationals.mlb.com/player/474699/vance-worley,Washington Nationals signed free agent RHPVance Worleyto a minor league contract and invited him to spring training.
